519969,8,4,2004-11-29
519969,83,5,2004-11-23
519969,156,4,2004-10-26
519969,175,5,2004-10-22
519969,199,5,2004-10-22
519969,312,5,2004-10-22
519969,329,5,2004-10-26
519969,358,5,2004-10-26
519969,442,4,2004-11-08
519969,443,4,2004-10-26
519969,482,4,2005-02-16
519969,501,4,2005-06-30
519969,571,4,2004-11-08
519969,646,4,2004-10-26
519969,720,5,2004-10-26
519969,798,4,2004-10-26
519969,1144,3,2004-10-26
519969,1180,4,2004-11-08
519969,1202,3,2004-10-22
519969,1370,5,2004-10-26
519969,1466,5,2004-10-26
519969,1470,3,2004-10-26
519969,1542,4,2004-10-26
519969,1642,4,2005-10-10
519969,1832,4,2004-10-26
519969,1890,2,2004-11-08
519969,1925,3,2004-10-22
519969,2095,3,2004-10-26
519969,2112,3,2004-11-01
519969,2122,5,2004-10-22
519969,2209,5,2004-10-22
519969,2256,3,2004-10-26
519969,2332,3,2004-11-08
519969,2462,3,2004-10-26
519969,2465,4,2004-10-26
519969,2578,4,2005-02-01
519969,2660,4,2004-10-22
519969,2743,4,2004-10-22
519969,2782,5,2004-10-22
519969,2862,5,2004-10-22
519969,2953,3,2004-10-26
519969,3047,3,2004-11-08
519969,3071,4,2004-10-26
519969,3106,4,2004-11-01
519969,3151,4,2005-04-12
519969,3265,4,2004-11-08
519969,3290,5,2004-10-22
519969,3355,3,2004-10-26
519969,3605,4,2004-10-22
519969,3626,4,2004-10-26
519969,3650,4,2004-11-08
519969,3684,3,2004-10-26
519969,3798,5,2004-10-26
519969,3961,5,2004-10-30
519969,3966,3,2005-12-16
519969,4069,4,2004-11-08
519969,4302,4,2004-10-22
519969,4306,5,2004-10-22
519969,4345,5,2004-10-26
519969,4479,5,2004-10-26
519969,4488,3,2004-10-26
2597551,111,3,2004-06-17
2597551,118,4,2004-05-22
2597551,166,5,2004-03-01
2597551,187,3,2004-12-12
2597551,197,5,2004-09-25
2597551,252,4,2004-03-01
2597551,257,5,2004-03-11
2597551,269,4,2004-03-16
2597551,285,5,2005-07-12
2597551,295,1,2004-11-24
2597551,299,4,2004-03-01
2597551,312,4,2004-06-04
2597551,313,5,2004-03-01
2597551,353,3,2004-03-01
2597551,361,5,2005-05-04
2597551,390,3,2004-03-01
2597551,483,4,2005-04-30
2597551,494,4,2004-09-12
2597551,550,5,2004-03-16
2597551,571,4,2004-03-03
2597551,607,4,2004-03-01
2597551,636,4,2004-05-05
2597551,658,5,2004-03-01
2597551,672,4,2004-03-01
2597551,692,4,2004-03-01
2597551,708,4,2004-03-01
2597551,723,3,2004-03-03
2597551,746,4,2004-03-03
2597551,751,3,2004-03-01
2597551,753,5,2005-06-28
2597551,758,4,2005-05-04
2597551,794,5,2005-10-17
2597551,798,5,2004-03-01
2597551,825,5,2004-09-12
2597551,896,4,2004-03-01
2597551,942,4,2004-03-01
2597551,963,4,2004-03-16
2597551,980,4,2005-08-07
2597551,985,4,2004-03-01
